;Mapa dos exames do semestre de Inverno 2014/2015;;;;;;;;;;
;;;Época Normal;;;Época de Recurso;;;Época Especial;;
;UC;Cursos;Dia;Hora;Salas;Dia;Hora;Salas;Dia;Hora;Salas
;AA;LEIM, MEIC;27 jan (ter);10:00;;10 fev (ter);19:00;;9 mar (seg);10:00;A.2.3
;AC;LEIC, LEETC;22 jan (qui);10:00;;10 fev (ter);19:00;;11 mar (qua);19:00;A.2.16,A.2.18
;AED;LEIC;27 jan (ter);19:00;;10 fev (ter);10:00;;10 mar (ter);10:00;A.2.12,A.2.13
;ALGA;LEIC, LEETC;4 fev (qua);19:00;;20 fev (sex);10:00;;18 mar (qua);19:00;A.2.16,A.2.18
;AM1;LEETC;6 fev (sex);10:00;;18 fev (qua);19:00;;16 mar (seg);10:00;A.2.16,A.2.18
;AM2;LEETC;5 fev (qui);19:00;;18 fev (qua);10:00;;17 mar (ter);19:00;A.2.16,A.2.18
;AMD;MERCM;5 fev (qui);19:00;;19 fev (qui);19:00;;20 mar (sex);19:00;A.2.16,A.2.18
;ANT;MEET;31 jan (sáb);10:00;;12 fev (qui);19:00;;9 mar (seg);19:00;A.2.16,A.2.18
;ASI;MEIC;28 jan (qua);19:00;;9 fev (seg);19:00;;10 mar (ter);19:00;A.2.16,A.2.18
;AVE;LEIC;30 jan (sex);19:00;;19 fev (qui);19:00;;18 mar (qua);19:00;A.2.16,A.2.18
;BD;LEETC, MEET;20 jan (ter);19:00;;9 fev (seg);10:00;;11 mar (qua);19:00;A.2.16,A.2.18
;CG;LEIC;23 jan (sex);10:00;;9 fev (seg);10:00;;11 mar (qua);10:00;A.2.12,A.2.13
;CMOV;MEET;22 jan (qui);19:00;;18 fev (qua);19:00;;13 mar (sex);19:00;A.2.12,A.2.13
;COM;LEIC;6 fev (sex);19:00;;20 fev (sex);10:00;;19 mar (qui);19:00;A.2.16,A.2.18
;COS;MEIC;29 jan (qui);19:00;;11 fev (qua);19:00;;17 mar (ter);19:00;A.2.16,A.2.18
;CPS;LEIM;28 jan (qua);19:00;;13 fev (sex);10:00;;19 mar (qui);10:00;A.2.16,A.2.18
;CSI;MEIC;30 jan (sex);19:00;;12 fev (qui);19:00;;12 mar (qui);19:00;A.2.16,A.2.18
;E1;LEETC;3 fev (ter);19:00;;19 fev (qui);10:00;;18 mar (qua);10:00;A.2.16,A.2.18
